speed_rpm,torque_Nm,efficiency_pct,mech_power_kW,elec_power_kW,peak_torque_limit_Nm,cont_torque_limit_Nm,peak_power_limit_kW,cont_power_limit_kW,within_peak_envelope,within_cont_envelope
0,0,,0.0,,240.0,95.0,0.0,0.0,1,1
0,10,86.73,0.0,0.0,240.0,95.0,0.0,0.0,1,1
0,20,87.45,0.0,0.0,240.0,95.0,0.0,0.0,1,1
0,30,87.81,0.0,0.0,240.0,95.0,0.0,0.0,1,1
0,40,87.96,0.0,0.0,240.0,95.0,0.0,0.0,1,1
0,50,88.03,0.0,0.0,240.0,95.0,0.0,0.0,1,1
0,60,88.07,0.0,0.0,240.0,95.0,0.0,0.0,1,1
0,70,88.1,0.0,0.0,240.0,95.0,0.0,0.0,1,1
0,80,88.14,0.0,0.0,240.0,95.0,0.0,0.0,1,1
0,90,88.17,0.0,0.0,240.0,95.0,0.0,0.0,1,1
0,100,88.21,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,110,88.23,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,120,88.24,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,130,88.23,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,140,88.22,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,150,88.19,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,160,88.16,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,170,88.13,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,180,88.1,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,190,88.07,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,200,88.05,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,210,88.02,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,220,88.0,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,230,87.93,0.0,0.0,240.0,95.0,0.0,0.0,1,0
0,240,87.52,0.0,0.0,240.0,95.0,0.0,0.0,1,0
250,0,,0.0,,236.39,98.32,6.19,2.57,1,1
250,10,87.28,0.262,0.3,236.39,98.32,6.19,2.57,1,1
250,20,88.02,0.524,0.595,236.39,98.32,6.19,2.57,1,1
250,30,88.42,0.785,0.888,236.39,98.32,6.19,2.57,1,1
250,40,88.63,1.047,1.181,236.39,98.32,6.19,2.57,1,1
250,50,88.75,1.309,1.475,236.39,98.32,6.19,2.57,1,1
250,60,88.83,1.571,1.768,236.39,98.32,6.19,2.57,1,1
250,70,88.89,1.832,2.062,236.39,98.32,6.19,2.57,1,1
250,80,88.95,2.094,2.355,236.39,98.32,6.19,2.57,1,1
250,90,89.01,2.356,2.647,236.39,98.32,6.19,2.57,1,1
250,100,89.06,2.618,2.939,236.39,98.32,6.19,2.57,1,0
250,110,89.09,2.88,3.232,236.39,98.32,6.19,2.57,1,0
250,120,89.1,3.141,3.526,236.39,98.32,6.19,2.57,1,0
250,130,89.09,3.403,3.82,236.39,98.32,6.19,2.57,1,0
250,140,89.07,3.665,4.115,236.39,98.32,6.19,2.57,1,0
250,150,89.03,3.927,4.411,236.39,98.32,6.19,2.57,1,0
250,160,88.98,4.188,4.707,236.39,98.32,6.19,2.57,1,0
250,170,88.93,4.45,5.004,236.39,98.32,6.19,2.57,1,0
250,180,88.88,4.712,5.302,236.39,98.32,6.19,2.57,1,0
