rpm,command_nm,delivered_nm,n_samples
0.0,0.0,0.0,2
0.0,5.0,4.705196296296297,0
0.0,10.0,9.410392592592594,1
0.0,15.0,14.11558888888889,0
0.0,20.0,18.820785185185187,3
0.0,25.0,23.525981481481484,0
0.0,30.0,28.23117777777778,0
0.0,35.0,32.93637407407408,1
0.0,40.0,37.641570370370374,0
0.0,45.0,42.34676666666667,6
0.0,50.0,42.34676666666667,4
0.0,55.0,42.34676666666667,0
0.0,60.0,42.34676666666667,0
0.0,65.0,42.34676666666667,0
0.0,70.0,42.34676666666667,0
0.0,75.0,42.34676666666667,0
0.0,80.0,42.34676666666667,0
0.0,85.0,42.34676666666667,0
100.0,0.0,0.0,0
100.0,5.0,4.705196296296297,0
100.0,10.0,9.410392592592594,0
100.0,15.0,14.11558888888889,0
100.0,20.0,18.820785185185187,0
100.0,25.0,23.525981481481484,0
100.0,30.0,28.23117777777778,0
100.0,35.0,32.93637407407408,0
100.0,40.0,37.641570370370374,0
100.0,45.0,42.34676666666667,4
100.0,50.0,42.34676666666667,3
100.0,55.0,42.34676666666667,1
100.0,60.0,42.34676666666667,3
100.0,65.0,42.34676666666667,0
100.0,70.0,42.34676666666667,0
100.0,75.0,42.34676666666667,0
100.0,80.0,42.34676666666667,0
100.0,85.0,42.34676666666667,0
200.0,0.0,0.0,0
200.0,5.0,5.0,0
200.0,10.0,10.0,0
200.0,15.0,15.0,0
200.0,20.0,20.0,0
200.0,25.0,25.0,0
200.0,30.0,30.0,0
200.0,35.0,35.0,0
200.0,40.0,40.0,0
200.0,45.0,45.0,3
200.0,50.0,50.0,1
200.0,55.0,55.0,1
200.0,60.0,60.0,0
200.0,65.0,65.0,5
200.0,70.0,67.19844,1
200.0,75.0,67.19844,0
200.0,80.0,67.19844,0
200.0,85.0,67.19844,0
300.0,0.0,0.0,0
300.0,5.0,5.0,0
300.0,10.0,10.0,0
300.0,15.0,15.0,0
300.0,20.0,20.0,0
300.0,25.0,25.0,0
300.0,30.0,30.0,0
300.0,35.0,35.0,0
300.0,40.0,40.0,0
300.0,45.0,45.0,0
300.0,50.0,50.0,0
300.0,55.0,55.0,0
300.0,60.0,60.0,4
300.0,65.0,65.0,4
300.0,70.0,67.19844,4
300.0,75.0,67.19844,0
300.0,80.0,67.19844,0
300.0,85.0,67.19844,0
400.0,0.0,0.0,0
400.0,5.0,5.0,0
400.0,10.0,10.0,0
400.0,15.0,15.0,0
400.0,20.0,20.0,0
